name,profile_url,rating,review_count,industry,description,salary_rating,job_security_rating,work_life_balance_rating,company_culture_rating
TCS,https://www.ambitionbox.com/overview/tcs-overview,3.3,1.1L,"IT Services & Consulting, Financial Services, Internet, Education & Training, BPO","An IT services and consulting firm offering business solutions, committed to driving innovation for global enterprises.",2.5,3.8,3.5,3.2
Accenture,https://www.ambitionbox.com/overview/accenture-overview,3.7,73.5k,"IT Services & Consulting, Analytics & KPO","Accenture plc is an Irish-American, professional services company based in Dublin, specializing in information technology services and consulting.",3.3,3.6,3.6,3.7
Wipro,https://www.ambitionbox.com/overview/wipro-overview,3.6,65.1k,"IT Services & Consulting, BPO","Wipro is a global company delivering innovation-led strategy, technology, and business consulting services.",3.0,3.7,3.6,3.6
Cognizant,https://www.ambitionbox.com/overview/cognizant-overview,3.7,61.5k,IT Services & Consulting,"A leader in IT services, providing insights that empower businesses to anticipate customer needs and adapt in a dynamic environment.",3.2,3.6,3.6,3.5
Capgemini,https://www.ambitionbox.com/overview/capgemini-overview,3.6,53.4k,"IT Services & Consulting, Analytics & KPO, Banking","Capgemini is an AI-powered global business and technology transformation partner, delivering tangible business value.",3.0,3.8,3.8,3.6
HDFC Bank,https://www.ambitionbox.com/overview/hdfc-bank-overview,3.8,52.4k,"Financial Services, Insurance, Banking",HDFC Bank Limited is an Indian banking and financial services company headquartered in Mumbai.,3.4,3.9,3.5,3.6
Infosys,https://www.ambitionbox.com/overview/infosys-overview,3.5,48.8k,N/A,N/A,4.0,N/A,N/A,N/A
HCLTech,https://www.ambitionbox.com/overview/hcl-technologies-overview,3.4,46k,N/A,N/A,5.0,N/A,N/A,N/A
ICICI Bank,https://www.ambitionbox.com/overview/icici-bank-overview,4.0,46k,"Financial Services, Banking","Leading private-sector bank in India, delivering innovative financial solutions, offering services across retail, corporate, and digital banking sectors.",3.7,4.0,3.7,3.7
Tech Mahindra,https://www.ambitionbox.com/overview/tech-mahindra-overview,3.4,43.3k,"IT Services & Consulting, Analytics & KPO, Engineering & Construction","We are digital changemakers – here to disrupt old ideas, blaze new trails, and help enterprises transform and scale at unparalleled speed. We are Tech Mahindra!",2.9,3.3,3.4,3.2
Genpact,https://www.ambitionbox.com/overview/genpact-overview,3.6,42.4k,"Analytics & KPO, Financial Services","Global leader in digital transformation, combining AI and analytics to drive growth. With $4.7 billion in 2024 revenue, it empowers businesses across industries to innovate and thrive.",3.0,3.9,3.6,3.5
TP ,https://www.ambitionbox.com/overview/tp-overview,3.9,38.6k,N/A,N/A,5.0,N/A,N/A,N/A
Jio,https://www.ambitionbox.com/overview/jio-overview,4.4,33.6k,Telecom,"Reliance Jio revolutionizes India's digital services landscape by providing a robust, future-ready telecommunications network aimed at enhancing connectivity nationwide.",4.3,4.4,4.3,4.3
Axis Bank,https://www.ambitionbox.com/overview/axis-bank-overview,3.6,33.2k,"Financial Services, Banking",Axis Bank is the third largest private sector bank in India offering the entire spectrum of financial services for personal & corporate banking.,3.5,3.5,3.4,3.4
